#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time          L_11/(1/3*L_ii)         L_22/(1/3*L_ii)         L_33/(1/3*L_ii)
1125806      0.115260222263E+03       0.965220526394E+00      0.957790228529E+00      0.107698924508E+01
1125873      0.115280135443E+03       0.967249760291E+00      0.958986319653E+00      0.107376392006E+01
1125940      0.115300135745E+03       0.969535416759E+00      0.959839859054E+00      0.107062472419E+01
1126007      0.115320183799E+03       0.972097190653E+00      0.960176247533E+00      0.106772656181E+01
1126074      0.115340156941E+03       0.974924371523E+00      0.959963765309E+00      0.106511186317E+01
1126141      0.115360199650E+03       0.978063661103E+00      0.959264464534E+00      0.106267187436E+01
1126207      0.115380029582E+03       0.981537870079E+00      0.958205311316E+00      0.106025681860E+01
1126273      0.115400137797E+03       0.985533171845E+00      0.956838481569E+00      0.105762834659E+01
1126341      0.115420027491E+03       0.989897387588E+00      0.955221642232E+00      0.105488097018E+01
1126412      0.115440002984E+03       0.994365302105E+00      0.953351130877E+00      0.105228356702E+01
1126484      0.115460137397E+03       0.998580677146E+00      0.951365418526E+00      0.105005390433E+01
1126555      0.115480151141E+03       0.100230582612E+01      0.949437488868E+00      0.104825668502E+01
1126625      0.115500236089E+03       0.100561399630E+01      0.947607064509E+00      0.104677893919E+01
1126692      0.115520222368E+03       0.100869698516E+01      0.945911153649E+00      0.104539186119E+01
1126757      0.115540032776E+03       0.101172776146E+01      0.944370169459E+00      0.104390206908E+01
1126824      0.115560092204E+03       0.101481091150E+01      0.942963563537E+00      0.104222552496E+01
1126891      0.115580106190E+03       0.101790742062E+01      0.941679646847E+00      0.104041293253E+01
1126957      0.115600003802E+03       0.102100727747E+01      0.940461045230E+00      0.103853167730E+01
1127023      0.115620309033E+03       0.102424414366E+01      0.939146611798E+00      0.103660924454E+01
1127086      0.115640200123E+03       0.102759090952E+01      0.937705981616E+00      0.103470310886E+01
1127148      0.115660327810E+03       0.103124442806E+01      0.936151372734E+00      0.103260419920E+01
1127208      0.115680187231E+03       0.103509404450E+01      0.934660207108E+00      0.103024574839E+01
1127269      0.115700307296E+03       0.103908667589E+01      0.933318280657E+00      0.102759504345E+01
1127329      0.115720054101E+03       0.104293466060E+01      0.932175362578E+00      0.102488997682E+01
1127390      0.115740132235E+03       0.104674700637E+01      0.931063717738E+00      0.102218927589E+01
1127451      0.115760269372E+03       0.105046602006E+01      0.929826148305E+00      0.101970783163E+01
1127511      0.115780203714E+03       0.105396606074E+01      0.928365884056E+00      0.101766805521E+01
1127570      0.115800005362E+03       0.105726762962E+01      0.926564365296E+00      0.101616800509E+01
1127629      0.115820076353E+03       0.106051665568E+01      0.924288855167E+00      0.101519448915E+01
1127687      0.115840185667E+03       0.106366865638E+01      0.921598603613E+00      0.101473274000E+01
1127743      0.115860071575E+03       0.106662658654E+01      0.918708900829E+00      0.101466451263E+01
1127799      0.115880184407E+03       0.106940814151E+01      0.915773532624E+00      0.101481832586E+01
1127854      0.115900283710E+03       0.107195422863E+01      0.912899430918E+00      0.101514634046E+01
1127907      0.115920244957E+03       0.107425380732E+01      0.910063210839E+00      0.101568298184E+01
1127960      0.115940254947E+03       0.107625942168E+01      0.907287423448E+00      0.101645315487E+01
1128013      0.115960178059E+03       0.107787561269E+01      0.904695324114E+00      0.101742906319E+01
1128066      0.115980180306E+03       0.107919218527E+01      0.902219224073E+00      0.101858859066E+01
1128119      0.116000201174E+03       0.108041431186E+01      0.899777093196E+00      0.101980859495E+01
1128172      0.116020093787E+03       0.108171474333E+01      0.897366063197E+00      0.102091919347E+01
1128226      0.116040331639E+03       0.108316023389E+01      0.894932896656E+00      0.102190686946E+01
1128279      0.116060163495E+03       0.108471192441E+01      0.892643721307E+00      0.102264435429E+01
1128333      0.116080334616E+03       0.108646926791E+01      0.890541280555E+00      0.102298945153E+01
1128386      0.116100200422E+03       0.108840452203E+01      0.888708144720E+00      0.102288733325E+01
1128439      0.116120299672E+03       0.109061441165E+01      0.886943566114E+00      0.102244202224E+01
1128491      0.116140330634E+03       0.109309385820E+01      0.885084147519E+00      0.102182199428E+01
1128542      0.116160393334E+03       0.109578706601E+01      0.883029053421E+00      0.102118388057E+01
1128592      0.116180224716E+03       0.109854937939E+01      0.880816075493E+00      0.102063454512E+01
1128643      0.116200379562E+03       0.110134835260E+01      0.878426083546E+00      0.102022556386E+01
1128693      0.116220138054E+03       0.110402169591E+01      0.875987033384E+00      0.101999127071E+01
1128744      0.116240354993E+03       0.110667785390E+01      0.873445109476E+00      0.101987703662E+01
1128794      0.116260339674E+03       0.110919950342E+01      0.871022427008E+00      0.101977806957E+01
1128843      0.116280167798E+03       0.111153961942E+01      0.868899047089E+00      0.101956133349E+01
1128892      0.116300299627E+03       0.111366873343E+01      0.867170117003E+00      0.101916114956E+01
1128940      0.116320369390E+03       0.111548590005E+01      0.865928862122E+00      0.101858523782E+01
1128988      0.116340206655E+03       0.111699940801E+01      0.865162591736E+00      0.101783800025E+01
1129037      0.116360315685E+03       0.111827606110E+01      0.864803538170E+00      0.101692040073E+01
1129085      0.116380057698E+03       0.111927086883E+01      0.864795119017E+00      0.101593401215E+01
1129133      0.116400004149E+03       0.112000940640E+01      0.865070857432E+00      0.101491973617E+01
1129181      0.116420059679E+03       0.112052743436E+01      0.865547362531E+00      0.101392520311E+01
1129229      0.116440191598E+03       0.112091489570E+01      0.866145949463E+00      0.101293915484E+01
1129278      0.116460377696E+03       0.112126771459E+01      0.866829979564E+00      0.101190230585E+01
1129327      0.116480216337E+03       0.112166953133E+01      0.867558143829E+00      0.101077232484E+01
1129377      0.116500353110E+03       0.112220835372E+01      0.868312044618E+00      0.100947960166E+01
1129426      0.116520173207E+03       0.112290611818E+01      0.869022189856E+00      0.100807169197E+01
1129475      0.116540187767E+03       0.112378932237E+01      0.869668963020E+00      0.100654171461E+01
1129523      0.116560089163E+03       0.112483259284E+01      0.870222440833E+00      0.100494496633E+01
1129571      0.116580371765E+03       0.112603540699E+01      0.870665085252E+00      0.100329950776E+01
1129617      0.116600260933E+03       0.112731241087E+01      0.870937972822E+00      0.100174961631E+01
1129662      0.116620186998E+03       0.112864192505E+01      0.871010025432E+00      0.100034804952E+01
1129706      0.116640068504E+03       0.112996488758E+01      0.870870412830E+00      0.999164699588E+00
1129751      0.116660236788E+03       0.113126033222E+01      0.870545133354E+00      0.998194534426E+00
1129796      0.116680087627E+03       0.113246593010E+01      0.870099546126E+00      0.997434523779E+00
1129842      0.116700407748E+03       0.113361576474E+01      0.869571933493E+00      0.996812301763E+00
1129886      0.116720161158E+03       0.113465131916E+01      0.869020400334E+00      0.996328280504E+00
1129930      0.116740311028E+03       0.113563357448E+01      0.868418153765E+00      0.995948271755E+00
1129973      0.116760081367E+03       0.113653866805E+01      0.867757813246E+00      0.995703518708E+00
1130017      0.116780327201E+03       0.113742460732E+01      0.866971732086E+00      0.995603660595E+00
1130061      0.116800414246E+03       0.113828723481E+01      0.866063416224E+00      0.995649348970E+00
1130105      0.116820001616E+03       0.113913085087E+01      0.865068861849E+00      0.995800287276E+00
1130151      0.116840082661E+03       0.114000224880E+01      0.863986813952E+00      0.996010937252E+00
1130198      0.116860256387E+03       0.114087709225E+01      0.862898865457E+00      0.996224042291E+00
1130246      0.116880255669E+03       0.114172215005E+01      0.861863199530E+00      0.996414650425E+00
1130295      0.116900139614E+03       0.114251506025E+01      0.860886246335E+00      0.996598693411E+00
1130345      0.116920122828E+03       0.114324671039E+01      0.859951886851E+00      0.996801402757E+00
1130396      0.116940386272E+03       0.114391716757E+01      0.859053568230E+00      0.997029264197E+00
1130445      0.116960147914E+03       0.114450998487E+01      0.858231370191E+00      0.997258644941E+00
1130493      0.116980069875E+03       0.114506281084E+01      0.857454342094E+00      0.997482847063E+00
1130540      0.117000181128E+03       0.114560211373E+01      0.856714971967E+00      0.997682914305E+00
1130585      0.117020078553E+03       0.114614698845E+01      0.856035715955E+00      0.997817295594E+00
1130630      0.117040266964E+03       0.114672943899E+01      0.855434498401E+00      0.997836062611E+00
1130674      0.117060073041E+03       0.114732501028E+01      0.854973552497E+00      0.997701437221E+00
1130718      0.117080071780E+03       0.114791665877E+01      0.854663728878E+00      0.997419612352E+00
1130762      0.117100374191E+03       0.114845218266E+01      0.854510320264E+00      0.997037497074E+00
1130804      0.117120137535E+03       0.114886783164E+01      0.854504530652E+00      0.996627637705E+00
