#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                    diss                    dissx                   dissy                   dissz
1125600      0.115200088413E+03       0.983569426592E+00      0.322441549788E+00      0.331943150760E+00      0.329184726044E+00
1125669      0.115220206227E+03       0.974393086320E+00      0.319312385095E+00      0.328807114222E+00      0.326273587002E+00
1125738      0.115240267180E+03       0.965062869704E+00      0.316195998576E+00      0.325438943821E+00      0.323427927306E+00
1125806      0.115260222263E+03       0.955623962658E+00      0.313126311541E+00      0.321841221886E+00      0.320656429231E+00
1125873      0.115280135443E+03       0.946115048646E+00      0.310135296872E+00      0.318041694863E+00      0.317938056911E+00
1125940      0.115300135745E+03       0.936536002549E+00      0.307211524475E+00      0.314094806101E+00      0.315229671973E+00
1126007      0.115320183799E+03       0.926922298708E+00      0.304322633318E+00      0.310117113097E+00      0.312482552293E+00
1126074      0.115340156941E+03       0.917273781038E+00      0.301410000801E+00      0.306235184820E+00      0.309628595417E+00
1126141      0.115360199650E+03       0.907425636056E+00      0.298375807574E+00      0.302464293579E+00      0.306585534903E+00
1126207      0.115380029582E+03       0.897475099756E+00      0.295236424782E+00      0.298840978840E+00      0.303397696134E+00
1126273      0.115400137797E+03       0.887196183478E+00      0.291949704959E+00      0.295244826964E+00      0.300001651555E+00
1126341      0.115420027491E+03       0.876888557912E+00      0.288660819141E+00      0.291734252829E+00      0.296493485941E+00
1126412      0.115440002984E+03       0.866451770319E+00      0.285379396862E+00      0.288232064169E+00      0.292840309288E+00
1126484      0.115460137397E+03       0.855924261023E+00      0.282153531955E+00      0.284726998128E+00      0.289043730939E+00
1126555      0.115480151141E+03       0.845507237527E+00      0.279053484309E+00      0.281288895587E+00      0.285164857631E+00
1126625      0.115500236089E+03       0.835117372841E+00      0.276030283978E+00      0.277906230038E+00      0.281180858825E+00
1126692      0.115520222368E+03       0.824854046654E+00      0.273076728435E+00      0.274606793237E+00      0.277170524982E+00
1126757      0.115540032776E+03       0.814753014981E+00      0.270176281922E+00      0.271367059643E+00      0.273209673416E+00
1126824      0.115560092204E+03       0.804574459518E+00      0.267245541616E+00      0.268072901624E+00      0.269256016278E+00
1126891      0.115580106190E+03       0.794434372537E+00      0.264307555731E+00      0.264739182283E+00      0.265387634524E+00
1126957      0.115600003802E+03       0.784333938095E+00      0.261368534091E+00      0.261352331319E+00      0.261613072685E+00
1127023      0.115620309033E+03       0.773998294045E+00      0.258373220333E+00      0.257803025606E+00      0.257822048105E+00
1127086      0.115640200123E+03       0.763881755405E+00      0.255471403414E+00      0.254231385060E+00      0.254178966931E+00
1127148      0.115660327810E+03       0.753697766311E+00      0.252572216572E+00      0.250526415323E+00      0.250599134417E+00
1127208      0.115680187231E+03       0.743715963970E+00      0.249713691387E+00      0.246800762443E+00      0.247201510140E+00
1127269      0.115700307296E+03       0.733668432354E+00      0.246769505021E+00      0.242998071143E+00      0.243900856189E+00
1127329      0.115720054101E+03       0.723871645668E+00      0.243803541645E+00      0.239280079921E+00      0.240788024102E+00
1127390      0.115740132235E+03       0.713954735543E+00      0.240699332417E+00      0.235533402173E+00      0.237722000953E+00
1127451      0.115760269372E+03       0.703999810548E+00      0.237493510068E+00      0.231815631990E+00      0.234690668490E+00
1127511      0.115780203714E+03       0.694103673305E+00      0.234234780010E+00      0.228189719675E+00      0.231679173620E+00
1127570      0.115800005362E+03       0.684257496241E+00      0.230939371752E+00      0.224664756426E+00      0.228653368064E+00
1127629      0.115820076353E+03       0.674333262419E+00      0.227589465484E+00      0.221187237793E+00      0.225556559142E+00
1127687      0.115840185667E+03       0.664542217016E+00      0.224278504491E+00      0.217811270363E+00      0.222452442162E+00
1127743      0.115860071575E+03       0.655082095782E+00      0.221080419834E+00      0.214584687476E+00      0.219416988472E+00
1127799      0.115880184407E+03       0.645747898155E+00      0.217922754312E+00      0.211422895653E+00      0.216402248191E+00
1127854      0.115900283710E+03       0.636606640181E+00      0.214822273376E+00      0.208344158858E+00      0.213440207947E+00
1127907      0.115920244957E+03       0.627649649136E+00      0.211769460122E+00      0.205351344581E+00      0.210528844434E+00
1127960      0.115940254947E+03       0.618749367003E+00      0.208720936505E+00      0.202411876551E+00      0.207616553947E+00
1128013      0.115960178059E+03       0.609950410874E+00      0.205701979159E+00      0.199546305930E+00      0.204702125785E+00
1128066      0.115980180306E+03       0.601172588384E+00      0.202697352337E+00      0.196726720560E+00      0.201748515486E+00
1128119      0.116000201174E+03       0.592430046051E+00      0.199717197984E+00      0.193950295843E+00      0.198762552224E+00
1128172      0.116020093787E+03       0.583776464129E+00      0.196774566444E+00      0.191219131848E+00      0.195782765837E+00
1128226      0.116040331639E+03       0.575007483261E+00      0.193787902018E+00      0.188450711603E+00      0.192768869640E+00
1128279      0.116060163495E+03       0.566455505695E+00      0.190858194319E+00      0.185741393842E+00      0.189855917534E+00
1128333      0.116080334616E+03       0.557815143688E+00      0.187869510314E+00      0.182999243635E+00      0.186946389738E+00
1128386      0.116100200422E+03       0.549393319588E+00      0.184922440080E+00      0.180332750022E+00      0.184138129486E+00
1128439      0.116120299672E+03       0.541002521342E+00      0.181958602708E+00      0.177690425160E+00      0.181353493474E+00
1128491      0.116140330634E+03       0.532808806609E+00      0.179053217194E+00      0.175125370201E+00      0.178630219214E+00
1128542      0.116160393334E+03       0.524792184387E+00      0.176215836178E+00      0.172626865635E+00      0.175949482574E+00
1128592      0.116180224716E+03       0.517050178667E+00      0.173488942887E+00      0.170220638189E+00      0.173340597592E+00
1128643      0.116200379562E+03       0.509341156917E+00      0.170787145991E+00      0.167831304219E+00      0.170722706707E+00
1128693      0.116220138054E+03       0.501911057055E+00      0.168191831363E+00      0.165536696008E+00      0.168182529684E+00
1128744      0.116240354993E+03       0.494422441727E+00      0.165580024475E+00      0.163229235332E+00      0.165613181920E+00
1128794      0.116260339674E+03       0.487132797357E+00      0.163038527047E+00      0.160978068572E+00      0.163116201739E+00
1128843      0.116280167798E+03       0.480022813417E+00      0.160560137647E+00      0.158767305381E+00      0.160695370388E+00
1128892      0.116300299627E+03       0.472945467607E+00      0.158095319678E+00      0.156549407271E+00      0.158300740657E+00
1128940      0.116320369390E+03       0.466042474122E+00      0.155696984221E+00      0.154374034724E+00      0.155971455177E+00
1128988      0.116340206655E+03       0.459364999438E+00      0.153388410958E+00      0.152261127578E+00      0.153715460903E+00
1129037      0.116360315685E+03       0.452727056601E+00      0.151111772465E+00      0.150149217854E+00      0.151466066282E+00
1129085      0.116380057698E+03       0.446319216715E+00      0.148936332944E+00      0.148094056156E+00      0.149288827615E+00
1129133      0.116400004149E+03       0.439939126796E+00      0.146791557619E+00      0.146029410847E+00      0.147118158330E+00
1129181      0.116420059679E+03       0.433611111172E+00      0.144678085647E+00      0.143966652997E+00      0.144966372528E+00
1129229      0.116440191598E+03       0.427347310810E+00      0.142590956944E+00      0.141915837383E+00      0.142840516483E+00
1129278      0.116460377696E+03       0.421164179716E+00      0.140531650457E+00      0.139887454575E+00      0.140745074684E+00
1129327      0.116480216337E+03       0.415194099476E+00      0.138546235083E+00      0.137927663587E+00      0.138720200807E+00
1129377      0.116500353110E+03       0.409251687507E+00      0.136577756446E+00      0.135975897235E+00      0.136698033826E+00
1129426      0.116520173207E+03       0.403522677098E+00      0.134690551812E+00      0.134092532381E+00      0.134739592905E+00
1129475      0.116540187767E+03       0.397859061592E+00      0.132834167467E+00      0.132229062091E+00      0.132795832034E+00
1129523      0.116560089163E+03       0.392347983524E+00      0.131031550512E+00      0.130415359913E+00      0.130901073099E+00
1129571      0.116580371765E+03       0.386853833619E+00      0.129230157232E+00      0.128608398442E+00      0.129015277944E+00
1129617      0.116600260933E+03       0.381583739108E+00      0.127489591762E+00      0.126877921770E+00      0.127216225577E+00
1129662      0.116620186998E+03       0.376414377488E+00      0.125763066827E+00      0.125185525750E+00      0.125465784910E+00
1129706      0.116640068504E+03       0.371356815905E+00      0.124051837444E+00      0.123537156442E+00      0.123767822020E+00
1129751      0.116660236788E+03       0.366317063170E+00      0.122325839629E+00      0.121903305627E+00      0.122087917914E+00
1129796      0.116680087627E+03       0.361436624842E+00      0.120638553998E+00      0.120328457047E+00      0.120469613797E+00
1129842      0.116700407748E+03       0.356516518502E+00      0.118926617285E+00      0.118744637378E+00      0.118845263840E+00
1129886      0.116720161158E+03       0.351803107190E+00      0.117280181410E+00      0.117225449205E+00      0.117297476576E+00
1129930      0.116740311028E+03       0.347064496012E+00      0.115621370585E+00      0.115689618108E+00      0.115753507319E+00
1129973      0.116760081367E+03       0.342485837649E+00      0.114017136650E+00      0.114191672903E+00      0.114277028097E+00
1130017      0.116780327201E+03       0.337874473875E+00      0.112402671832E+00      0.112664537866E+00      0.112807264176E+00
1130061      0.116800414246E+03       0.333380077565E+00      0.110834134399E+00      0.111155434633E+00      0.111390508533E+00
1130105      0.116820001616E+03       0.329074146397E+00      0.109339255652E+00      0.109690507317E+00      0.110044383428E+00
1130151      0.116840082661E+03       0.324732390062E+00      0.107841309334E+00      0.108197813922E+00      0.108693266806E+00
1130198      0.116860256387E+03       0.320435237274E+00      0.106368247312E+00      0.106710465779E+00      0.107356524184E+00
1130246      0.116880255669E+03       0.316229862363E+00      0.104936138804E+00      0.105250813536E+00      0.106042910024E+00
1130295      0.116900139614E+03       0.312096745843E+00      0.103539108469E+00      0.103816747849E+00      0.104740889525E+00
1130345      0.116920122828E+03       0.307989992671E+00      0.102163396187E+00      0.102394722710E+00      0.103431873775E+00
1130396      0.116940386272E+03       0.303876720996E+00      0.100799955097E+00      0.100973232997E+00      0.102103532902E+00
1130445      0.116960147914E+03       0.299919593481E+00      0.995027678545E-01      0.996069963230E-01      0.100809829303E+00
1130493      0.116980069875E+03       0.295989989084E+00      0.982276369133E-01      0.982507938968E-01      0.995115582738E-01
1130540      0.117000181128E+03       0.292090219650E+00      0.969719042866E-01      0.969062044056E-01      0.982121109581E-01
1130585      0.117020078553E+03       0.288304987390E+00      0.957577456411E-01      0.956044973081E-01      0.969427444411E-01
1130630      0.117040266964E+03       0.284543657299E+00      0.945506490191E-01      0.943172404102E-01      0.956757678696E-01
1130674      0.117060073041E+03       0.280932659600E+00      0.933865714462E-01      0.930899903782E-01      0.944560977756E-01
1130718      0.117080071780E+03       0.277363473383E+00      0.922273575255E-01      0.918868574804E-01      0.932492583770E-01
1130762      0.117100374191E+03       0.273813033856E+00      0.910636696710E-01      0.907000007011E-01      0.920493634839E-01
1130804      0.117120137535E+03       0.270420647095E+00      0.899417965683E-01      0.895743385859E-01      0.909045119412E-01
