#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time              E_11(k_1=0)             E_22(k_2=0)             E_33(k_3=0)
1126484      0.115460137397E+03       0.578366289580E+00      0.494707339608E+00      0.546484122860E+00
1126555      0.115480151141E+03       0.575348003480E+00      0.487328691623E+00      0.538773244757E+00
1126625      0.115500236089E+03       0.571880069634E+00      0.479913453159E+00      0.531112684480E+00
1126692      0.115520222368E+03       0.568131702183E+00      0.472559024227E+00      0.523480064816E+00
1126757      0.115540032776E+03       0.564269598781E+00      0.465337160889E+00      0.515860914460E+00
1126824      0.115560092204E+03       0.560256545019E+00      0.458104903522E+00      0.508094262132E+00
1126891      0.115580106190E+03       0.556169666340E+00      0.450951266016E+00      0.500327416506E+00
1126957      0.115600003802E+03       0.552061627639E+00      0.443894842441E+00      0.492660281185E+00
1127023      0.115620309033E+03       0.547894010582E+00      0.436726768064E+00      0.484988357422E+00
1127086      0.115640200123E+03       0.543926572979E+00      0.429739357129E+00      0.477672915486E+00
1127148      0.115660327810E+03       0.540086218902E+00      0.422760836525E+00      0.470444545477E+00
1127208      0.115680187231E+03       0.536436049698E+00      0.416038740069E+00      0.463429920248E+00
1127269      0.115700307296E+03       0.532776321122E+00      0.409461970103E+00      0.456436727807E+00
1127329      0.115720054101E+03       0.529119959117E+00      0.403248646908E+00      0.449713371278E+00
1127390      0.115740132235E+03       0.525328868239E+00      0.397147706103E+00      0.443058574223E+00
1127451      0.115760269372E+03       0.521474313513E+00      0.391210121562E+00      0.436627509921E+00
1127511      0.115780203714E+03       0.517607008216E+00      0.385503053131E+00      0.430582150255E+00
1127570      0.115800005362E+03       0.513752405721E+00      0.379981095688E+00      0.424943218188E+00
1127629      0.115820076353E+03       0.509878118170E+00      0.374497573932E+00      0.419589989378E+00
1127687      0.115840185667E+03       0.506017910835E+00      0.369122041994E+00      0.414558399231E+00
1127743      0.115860071575E+03       0.502176613737E+00      0.363964857616E+00      0.409843130349E+00
1127799      0.115880184407E+03       0.498233925918E+00      0.358962149726E+00      0.405256737409E+00
1127854      0.115900283710E+03       0.494236614290E+00      0.354180012087E+00      0.400836010683E+00
1127907      0.115920244957E+03       0.490223067278E+00      0.349607660311E+00      0.396611880279E+00
1127960      0.115940254947E+03       0.486132670960E+00      0.345200153344E+00      0.392532430106E+00
1128013      0.115960178059E+03       0.481982863850E+00      0.341022179640E+00      0.388611204793E+00
1128066      0.115980180306E+03       0.477786609463E+00      0.337009349401E+00      0.384795523616E+00
1128119      0.116000201174E+03       0.473622517970E+00      0.333103804096E+00      0.381024683712E+00
1128172      0.116020093787E+03       0.469586239139E+00      0.329302099826E+00      0.377265041245E+00
1128226      0.116040331639E+03       0.465620249379E+00      0.325522847997E+00      0.373451786853E+00
1128279      0.116060163495E+03       0.461879053184E+00      0.321930515864E+00      0.369717491726E+00
1128333      0.116080334616E+03       0.458207082651E+00      0.318412029120E+00      0.365855675348E+00
1128386      0.116100200422E+03       0.454709755496E+00      0.315066042303E+00      0.361969804414E+00
1128439      0.116120299672E+03       0.451290172403E+00      0.311730237710E+00      0.357982050537E+00
1128491      0.116140330634E+03       0.447993604967E+00      0.308373506254E+00      0.353995059632E+00
1128542      0.116160393334E+03       0.444772146036E+00      0.304944699115E+00      0.350037345187E+00
1128592      0.116180224716E+03       0.441632953009E+00      0.301500331235E+00      0.346196439114E+00
1128643      0.116200379562E+03       0.438462970761E+00      0.297974053435E+00      0.342398313315E+00
1128693      0.116220138054E+03       0.435358269994E+00      0.294513452558E+00      0.338787378148E+00
1128744      0.116240354993E+03       0.432167619126E+00      0.290976682737E+00      0.335178690012E+00
1128794      0.116260339674E+03       0.428979495594E+00      0.287519960060E+00      0.331649938788E+00
1128843      0.116280167798E+03       0.425767458100E+00      0.284192036428E+00      0.328147535420E+00
1128892      0.116300299627E+03       0.422450812296E+00      0.280973181086E+00      0.324589060584E+00
1128940      0.116320369390E+03       0.419086699044E+00      0.277947712879E+00      0.321053073063E+00
1128988      0.116340206655E+03       0.415707048973E+00      0.275122367814E+00      0.317561778880E+00
1129037      0.116360315685E+03       0.412233754885E+00      0.272400081719E+00      0.314028233971E+00
1129085      0.116380057698E+03       0.408782329852E+00      0.269843877430E+00      0.310591095214E+00
1129133      0.116400004149E+03       0.405252335282E+00      0.267355623741E+00      0.307172870525E+00
1129181      0.116420059679E+03       0.401659531964E+00      0.264910139808E+00      0.303793324336E+00
1129229      0.116440191598E+03       0.398009767376E+00      0.262467672904E+00      0.300431659396E+00
1129278      0.116460377696E+03       0.394315793730E+00      0.260006445468E+00      0.297056209953E+00
1129327      0.116480216337E+03       0.390673175658E+00      0.257564991557E+00      0.293708927068E+00
1129377      0.116500353110E+03       0.386986857890E+00      0.255054195859E+00      0.290270762627E+00
1129426      0.116520173207E+03       0.383392513154E+00      0.252549083250E+00      0.286858553619E+00
1129475      0.116540187767E+03       0.379817927719E+00      0.249992420882E+00      0.283408744050E+00
1129523      0.116560089163E+03       0.376326906520E+00      0.247433484787E+00      0.279997142838E+00
1129571      0.116580371765E+03       0.372829635895E+00      0.244810767387E+00      0.276564340423E+00
1129617      0.116600260933E+03       0.369449953613E+00      0.242220437876E+00      0.273269128188E+00
1129662      0.116620186998E+03       0.366106566355E+00      0.239604808856E+00      0.270068566184E+00
1129706      0.116640068504E+03       0.362812266546E+00      0.236984088930E+00      0.267001687682E+00
1129751      0.116660236788E+03       0.359515509904E+00      0.234332963979E+00      0.264027903808E+00
1129796      0.116680087627E+03       0.356314757376E+00      0.231747153518E+00      0.261224948310E+00
1129842      0.116700407748E+03       0.353081973908E+00      0.229136012938E+00      0.258465060797E+00
1129886      0.116720161158E+03       0.349983514115E+00      0.226635935164E+00      0.255874973779E+00
1129930      0.116740311028E+03       0.346870740325E+00      0.224118818616E+00      0.253319210817E+00
1129973      0.116760081367E+03       0.343866268181E+00      0.221668488615E+00      0.250894505535E+00
1130017      0.116780327201E+03       0.340844765263E+00      0.219165707586E+00      0.248495514378E+00
1130061      0.116800414246E+03       0.337906324498E+00      0.216681629719E+00      0.246190733350E+00
1130105      0.116820001616E+03       0.335096847869E+00      0.214258833581E+00      0.243998613385E+00
1130151      0.116840082661E+03       0.332268872961E+00      0.211784788155E+00      0.241787002430E+00
1130198      0.116860256387E+03       0.329480598357E+00      0.209328382918E+00      0.239587189097E+00
1130246      0.116880255669E+03       0.326773239816E+00      0.206942351911E+00      0.237430437287E+00
1130295      0.116900139614E+03       0.324143432508E+00      0.204632282560E+00      0.235324307145E+00
1130345      0.116920122828E+03       0.321567173347E+00      0.202380854501E+00      0.233261153564E+00
1130396      0.116940386272E+03       0.319023911163E+00      0.200174330072E+00      0.231230287245E+00
1130445      0.116960147914E+03       0.316606437072E+00      0.198096924057E+00      0.229305406625E+00
1130493      0.116980069875E+03       0.314224046270E+00      0.196071664533E+00      0.227412798221E+00
1130540      0.117000181128E+03       0.311866824506E+00      0.194089040097E+00      0.225539997556E+00
1130585      0.117020078553E+03       0.309577625519E+00      0.192185446854E+00      0.223710982993E+00
1130630      0.117040266964E+03       0.307297579959E+00      0.190319444371E+00      0.221867072321E+00
1130674      0.117060073041E+03       0.305101646151E+00      0.188564118921E+00      0.220064868306E+00
1130718      0.117080071780E+03       0.302924243190E+00      0.186878275119E+00      0.218261868101E+00
1130762      0.117100374191E+03       0.300756246589E+00      0.185264802764E+00      0.216473347448E+00
1130804      0.117120137535E+03       0.298691990960E+00      0.183794014469E+00      0.214796251757E+00
