#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                    <u^2>                   <v^2>                   <w^2>
1126484      0.115460137397E+03       0.105586388191E+01      0.947958036985E+00      0.948754994258E+00
1126555      0.115480151141E+03       0.104623061372E+01      0.935519131970E+00      0.936775336734E+00
1126625      0.115500236089E+03       0.103666274198E+01      0.923205690437E+00      0.924901610267E+00
1126692      0.115520222368E+03       0.102721236866E+01      0.911124350412E+00      0.913256920436E+00
1126757      0.115540032776E+03       0.101790482170E+01      0.899310495292E+00      0.901897226805E+00
1126824      0.115560092204E+03       0.100854804176E+01      0.887492739157E+00      0.890589079058E+00
1126891      0.115580106190E+03       0.999289431415E+00      0.875827752788E+00      0.879510109469E+00
1126957      0.115600003802E+03       0.990160558789E+00      0.864343134644E+00      0.868709761480E+00
1127023      0.115620309033E+03       0.980909355429E+00      0.852731348325E+00      0.857930383802E+00
1127086      0.115640200123E+03       0.971884918820E+00      0.841459588841E+00      0.847636566159E+00
1127148      0.115660327810E+03       0.962758987868E+00      0.830165672108E+00      0.837511254162E+00
1127208      0.115680187231E+03       0.953730466696E+00      0.819157722359E+00      0.827810153646E+00
1127269      0.115700307296E+03       0.944539433961E+00      0.808184942645E+00      0.818249103015E+00
1127329      0.115720054101E+03       0.935469954819E+00      0.797642156306E+00      0.809079793861E+00
1127390      0.115740132235E+03       0.926200276731E+00      0.787205323077E+00      0.799917488985E+00
1127451      0.115760269372E+03       0.916860374115E+00      0.777070851019E+00      0.790838185958E+00
1127511      0.115780203714E+03       0.907581467409E+00      0.767398148244E+00      0.781919380279E+00
1127570      0.115800005362E+03       0.898342645085E+00      0.758157578669E+00      0.773104977646E+00
1127629      0.115820076353E+03       0.888964943429E+00      0.749164252654E+00      0.764208072190E+00
1127687      0.115840185667E+03       0.879561095093E+00      0.740516356445E+00      0.755336601057E+00
1127743      0.115860071575E+03       0.870258644424E+00      0.732294538784E+00      0.746619717873E+00
1127799      0.115880184407E+03       0.860859044183E+00      0.724273851544E+00      0.737877349027E+00
