#------------------------------------------------------------------------------
# RUNTIME LES STATISTICAL DATA
#
# Simulation run at:
# 08/31/2017  16:22:58
#
# Field description:
# N         =        256       256       256
# length    =   6.283185  6.283185  6.283185
# nu        =   0.002800
# CFL       =   0.100000
# sgs model =      NONE 
# model c   =   0.200000
#------------------------------------------------------------------------------
# step                     time                     b_11                    b_22                    b_33
1126273      0.115400137797E+03       0.217522212894E-01     -0.107273899207E-01     -0.110248313687E-01
1126341      0.115420027491E+03       0.225722531705E-01     -0.112409293615E-01     -0.113313238090E-01
1126412      0.115440002984E+03       0.234108549933E-01     -0.117541372124E-01     -0.116567177809E-01
1126484      0.115460137397E+03       0.242742457307E-01     -0.122720824779E-01     -0.120021632528E-01
1126555      0.115480151141E+03       0.251458930479E-01     -0.127881587850E-01     -0.123577342629E-01
1126625      0.115500236089E+03       0.260238170263E-01     -0.133058521906E-01     -0.127179648356E-01
1126692      0.115520222368E+03       0.268906321109E-01     -0.138192420584E-01     -0.130713900524E-01
1126757      0.115540032776E+03       0.277394531863E-01     -0.143285113121E-01     -0.134109418742E-01
1126824      0.115560092204E+03       0.285906007521E-01     -0.148508710936E-01     -0.137397296585E-01
1126891      0.115580106190E+03       0.294342300719E-01     -0.153855097565E-01     -0.140487203154E-01
1126957      0.115600003802E+03       0.302667204937E-01     -0.159351018122E-01     -0.143316186815E-01
1127023      0.115620309033E+03       0.311041359068E-01     -0.165178673522E-01     -0.145862685546E-01
1127086      0.115640200123E+03       0.319022289868E-01     -0.171117723760E-01     -0.147904566108E-01
1127148      0.115660327810E+03       0.326740583287E-01     -0.177332962270E-01     -0.149407621017E-01
1127208      0.115680187231E+03       0.333875781376E-01     -0.183572713622E-01     -0.150303067754E-01
1127269      0.115700307296E+03       0.340525776642E-01     -0.189835553014E-01     -0.150690223628E-01
1127329      0.115720054101E+03       0.346443763684E-01     -0.195717503696E-01     -0.150726259988E-01
1127390      0.115740132235E+03       0.351828677318E-01     -0.201203896465E-01     -0.150624780853E-01
1127451      0.115760269372E+03       0.356588033303E-01     -0.205997462448E-01     -0.150590570855E-01
1127511      0.115780203714E+03       0.360678788906E-01     -0.209891346036E-01     -0.150787442869E-01
1127570      0.115800005362E+03       0.364150704681E-01     -0.212836315003E-01     -0.151314389678E-01
1127629      0.115820076353E+03       0.367083569695E-01     -0.214852583159E-01     -0.152230986536E-01
1127687      0.115840185667E+03       0.369436270694E-01     -0.215913211834E-01     -0.153523058860E-01
1127743      0.115860071575E+03       0.371198776768E-01     -0.216089223940E-01     -0.155109552828E-01
1127799      0.115880184407E+03       0.372457659743E-01     -0.215508721153E-01     -0.156948938589E-01
1127854      0.115900283710E+03       0.373276932714E-01     -0.214304695902E-01     -0.158972236813E-01
1127907      0.115920244957E+03       0.373768873717E-01     -0.212596836205E-01     -0.161172037512E-01
1127960      0.115940254947E+03       0.374063318038E-01     -0.210438928416E-01     -0.163624389622E-01
1128013      0.115960178059E+03       0.374273233592E-01     -0.207894736880E-01     -0.166378496712E-01
1128066      0.115980180306E+03       0.374487897187E-01     -0.204996721095E-01     -0.169491176092E-01
1128119      0.116000201174E+03       0.374757312740E-01     -0.201829208152E-01     -0.172928104588E-01
1128172      0.116020093787E+03       0.375090726597E-01     -0.198520355010E-01     -0.176570371587E-01
1128226      0.116040331639E+03       0.375471670421E-01     -0.195095509574E-01     -0.180376160847E-01
1128279      0.116060163495E+03       0.375836995930E-01     -0.191762070832E-01     -0.184074925098E-01
1128333      0.116080334616E+03       0.376151184046E-01     -0.188449400390E-01     -0.187701783655E-01
1128386      0.116100200422E+03       0.376381894195E-01     -0.185301787749E-01     -0.191080106445E-01
1128439      0.116120299672E+03       0.376547588215E-01     -0.182261750456E-01     -0.194285837759E-01
1128491      0.116140330634E+03       0.376678048966E-01     -0.179393689417E-01     -0.197284359549E-01
1128542      0.116160393334E+03       0.376811077613E-01     -0.176690117773E-01     -0.200120959840E-01
1128592      0.116180224716E+03       0.376971284023E-01     -0.174183386254E-01     -0.202787897769E-01
1128643      0.116200379562E+03       0.377174157875E-01     -0.171795938706E-01     -0.205378219169E-01
1128693      0.116220138054E+03       0.377412529794E-01     -0.169602838238E-01     -0.207809691557E-01
1128744      0.116240354993E+03       0.377699296970E-01     -0.167512449724E-01     -0.210186847246E-01
1128794      0.116260339674E+03       0.378037618169E-01     -0.165617913949E-01     -0.212419704220E-01
1128843      0.116280167798E+03       0.378445513529E-01     -0.163932571464E-01     -0.214512942065E-01
1128892      0.116300299627E+03       0.378950668385E-01     -0.162439977021E-01     -0.216510691364E-01
1128940      0.116320369390E+03       0.379560063384E-01     -0.161184342642E-01     -0.218375720742E-01
1128988      0.116340206655E+03       0.380281429586E-01     -0.160183559873E-01     -0.220097869714E-01
1129037      0.116360315685E+03       0.381150061952E-01     -0.159430149948E-01     -0.221719912004E-01
1129085      0.116380057698E+03       0.382146716392E-01     -0.158964703933E-01     -0.223182012459E-01
1129133      0.116400004149E+03       0.383291304474E-01     -0.158781024752E-01     -0.224510279721E-01
